Category,Department,Keywords,Severity
Fraud,Head of Financial Crimes Unit,"fake email, loan fraud, insurance fraud, fake investment, identity theft, insurance scam",Critical
Fraud,Head of Financial Crimes Unit,"financial deception, identity stolen, inheritance scam, real estate fraud",Medium
Fraud,Head of Financial Crimes Unit,"fake check, money disappeared, real estate fraud, insurance scam, money laundering",Medium
Theft,Directorate of Police,"grabbed my, went missing from, theft from vehicle, theft",High
Theft,Directorate of Police,"robbed, burglary, took everything",Medium
Theft,Directorate of Police,"theft, broke into my house, stolen package, cash stolen, catalytic converter theft, grabbed my",High
Fraud,Head of Financial Crimes Unit,"false promises, loan fraud, check fraud",High
Theft,Directorate of Police,"broke in and took, ransacked, shoplifting, taken from my car, steal, copper wire theft",Critical
Fraud,Head of Financial Crimes Unit,"false promises, medicare fraud, money laundering, scam",High
Fraud,Head of Financial Crimes Unit,"fake email, cheating, employment fraud, bank fraud, credit fraud",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, designer drugs, crack cocaine",High
Fraud,Head of Financial Crimes Unit,"took my money, money disappeared, money laundering, securities fraud, fake check, cheating",Low
Cybercrime,Head of Cyber Crime Bureau,"tech support scam, digital theft, social media hack, account hacked",High
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, drug paraphernalia, drug related, drug cartel",High
Fraud,Head of Financial Crimes Unit,"mail fraud, money transfer scam, fake job offer, unauthorized purchase, identity theft",Medium
Theft,Directorate of Police,"bike gone, stolen package, retail theft",Low
Fraud,Head of Financial Crimes Unit,"loan fraud, employment fraud, pretending to be, fake company, identity fraud, financial deception",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber attack, account compromised, cryptocurrency scam, cyber harassment, online harassment",Medium
Fraud,Head of Financial Crimes Unit,"check fraud, insurance fraud, fake investment, credit card, wire fraud",Critical
Cybercrime,Head of Cyber Crime Bureau,"denial of service, digital extortion, hacking incident",Medium
Fraud,Head of Financial Crimes Unit,"strange transaction, lottery scam, fake investment, got scammed, forgery, embezzlement",High
Fraud,Head of Financial Crimes Unit,"loan fraud, false promises, money laundering, telemarketing fraud, cheating",Medium
Fraud,Head of Financial Crimes Unit,"strange transaction, fake currency, fake check, got scammed",High
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, needles found, sketchy behavior",Medium
Assault,Commissioner of Law Enforcement,"beaten, violent outburst, unprovoked attack",High
Theft,Directorate of Police,"package theft, auto theft, emptied my",Medium
Theft,Directorate of Police,"emptied my, ran off with, copper wire theft, pinched my",Low
Assault,Commissioner of Law Enforcement,"getting physical, violent behavior, hit",Critical
Theft,Directorate of Police,"items missing, grabbed my, purse snatching, car theft, took my stuff",Critical
Cybercrime,Head of Cyber Crime Bureau,"identity breach, internet fraud, suspicious activity online",Low
Theft,Directorate of Police,"larceny, retail theft, someone took my",Critical
Cybercrime,Head of Cyber Crime Bureau,"social engineering, data theft, online stalking",High
Cybercrime,Head of Cyber Crime Bureau,"weird emails, online impersonation, phishing, email hacked, keylogger",Critical
Assault,Commissioner of Law Enforcement,"battery, got beaten, physical threat, violent behavior, violent outburst, street fight",Critical
Theft,Directorate of Police,"porch pirate, car gone, stealing",Low
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, digital theft, database breach, cryptocurrency scam",Critical
Fraud,Head of Financial Crimes Unit,"healthcare fraud, took my money, suspicious charge, loan fraud, internet fraud, credit card skimming",Medium
Theft,Directorate of Police,"someone took my, stealing, theft from vehicle, porch pirate, package theft, bike theft",High
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, methamphetamine, suspicious visitors",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug paraphernalia, crystal meth, illegal prescription, lots of traffic",Critical
Cybercrime,Head of Cyber Crime Bureau,"weird emails, email hacked, online threats",Medium
Assault,Commissioner of Law Enforcement,"coming after me, ganged up on, aggravated assault, started swinging, physical threat",Critical
Fraud,Head of Financial Crimes Unit,"ponzi scheme, securities fraud, fraudulent documents, false promises, strange transaction",Critical
Theft,Directorate of Police,"made off with, grabbed my, went missing from, porch pirate",High
Theft,Directorate of Police,"petty theft, ran off with, property theft, burglary",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug drops, drug conspiracy, drug ring, crack cocaine, drug addiction",Critical
Theft,Directorate of Police,"smartphone theft, vehicle break-in, larceny, break-in, auto theft",Critical
Fraud,Head of Financial Crimes Unit,"payment fraud, loan fraud, bank scam, bank fraud, credit card",Medium
Cybercrime,Head of Cyber Crime Bureau,"spyware, ransomware, identity stolen online, digital extortion",High
Assault,Commissioner of Law Enforcement,"violent behavior, hit, threatened to hurt, weapon assault, throwing things",Low
Theft,Directorate of Police,"shoplifting, catalytic converter theft, stole from me, bike gone",Low
Theft,Directorate of Police,"items missing, theft, grand theft, steal, package theft, looted",Low
Theft,Directorate of Police,"larceny, laptop stolen, stolen package, cash stolen, theft, taken from my car",Medium
Drug-Related Offenses,Chief of Narcotics Control,"weird smell, psychedelic drugs, selling drugs, methamphetamine, drug activity",Low
Drug-Related Offenses,Chief of Narcotics Control,"heroin, drug cultivation, selling drugs, drugs, cocaine",Low
Assault,Commissioner of Law Enforcement,"pushed me around, hit, aggressive behavior, bodily harm, group assault",High
Fraud,Head of Financial Crimes Unit,"financial deception, unauthorized purchase, strange transaction, credit card skimming",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, drug meetup, drug sale",Critical
Fraud,Head of Financial Crimes Unit,"insurance fraud, identity theft, mortgage fraud",Critical
Theft,Directorate of Police,"nicked my, grabbed my, retail theft, pickpocket",Medium
Cybercrime,Head of Cyber Crime Bureau,"identity breach, suspicious activity online, computer infected, cyber terrorism",Critical
Fraud,Head of Financial Crimes Unit,"got scammed, fake job offer, tech support scam, fake website",Low
Fraud,Head of Financial Crimes Unit,"mortgage fraud, romance scam, medicare fraud, financial deception",Medium
Cybercrime,Head of Cyber Crime Bureau,"online harassment, online impersonation, spam emails, password stolen, social media hack",Critical
Cybercrime,Head of Cyber Crime Bureau,"computer virus, website defacement, strange messages, phone hacked, computer infected, fake website",Critical
Theft,Directorate of Police,"catalytic converter theft, car gone, stealing",High
Assault,Commissioner of Law Enforcement,"pushed me around, group assault, violent behavior, getting physical, violent confrontation, got beaten",Low
Theft,Directorate of Police,"grabbed my, shoplifting, items missing, disappeared with, made off with, petty theft",High
Cybercrime,Head of Cyber Crime Bureau,"internet scam, social media hack, online impersonation, cryptocurrency scam, account hacked, suspicious login",Low
Cybercrime,Head of Cyber Crime Bureau,"account compromised, data theft, ransomware",Medium
Fraud,Head of Financial Crimes Unit,"financial deception, suspicious charge, false promises, pretending to be, suspicious call, healthcare fraud",Medium
Fraud,Head of Financial Crimes Unit,"payment fraud, ponzi scheme, corporate fraud, card got charged",High
Assault,Commissioner of Law Enforcement,"group assault, bodily harm, ganged up on, attack, aggressive behavior",Critical
Theft,Directorate of Police,"smartphone theft, items missing, property theft, someone took my",High
Theft,Directorate of Police,"missing from my porch, stealing, stole from me, catalytic converter theft, taken from my car",High
Theft,Directorate of Police,"pinched my, jewelry theft, bike theft",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyberstalking, ransomware, webcam hacked, data leak, botnet attack, identity stolen online",High
Theft,Directorate of Police,"lifted my wallet, steal, stolen package",Low
Assault,Commissioner of Law Enforcement,"workplace violence, road rage incident, got jumped, beaten",Critical
Drug-Related Offenses,Chief of Narcotics Control,"heroin, designer drugs, drug sale, narcotic sales",Critical
Theft,Directorate of Police,"break-in, stealing, residential burglary",High
Cybercrime,Head of Cyber Crime Bureau,"social media scam, computer virus, online impersonation, spam emails, bitcoin scam",Medium
Fraud,Head of Financial Crimes Unit,"identity stolen, welfare fraud, romance scam, pyramid scheme",Critical
Fraud,Head of Financial Crimes Unit,"identity theft, inheritance scam, counterfeit",Critical
Cybercrime,Head of Cyber Crime Bureau,"online harassment, cyber harassment, account compromised",Low
Assault,Commissioner of Law Enforcement,"gang violence, physical altercation, weapon assault",High
Theft,Directorate of Police,"stealing, took everything, car gone, grand theft",Medium
Theft,Directorate of Police,"retail theft, bike gone, petty theft",High
Assault,Commissioner of Law Enforcement,"trying to fight, gang violence, battery, got attacked, physical altercation, violent attack",Medium
Theft,Directorate of Police,"laptop stolen, someone took my, pickpocket, snatched, went missing from",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber security breach, bitcoin scam, computer virus, fake profile, phone hacked",Low
Cybercrime,Head of Cyber Crime Bureau,"strange messages, digital theft, hacked, cryptocurrency scam",Critical
Theft,Directorate of Police,"cash stolen, smartphone theft, larceny, broke in and took, theft, car theft",Medium
Assault,Commissioner of Law Enforcement,"violent behavior, violence, knocked me down",Medium
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, social engineering, denial of service",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug exchanges, drug cultivation, pharmaceutical theft, lots of traffic, drug manufacturing",Medium
Cybercrime,Head of Cyber Crime Bureau,"fake website, fake profile, phishing, social media hack, spyware",Critical
Drug-Related Offenses,Chief of Narcotics Control,"trafficking, strange odors, late night activity, sketchy behavior",High
Cybercrime,Head of Cyber Crime Bureau,"suspicious login, data leak, identity breach, hacking incident",Medium
Theft,Directorate of Police,"petty theft, package theft, bike gone, retail theft, snatched",Low
Theft,Directorate of Police,"vehicle break-in, burglary, snatched, grand theft",Critical
Theft,Directorate of Police,"retail theft, break-in, purse snatching, car gone, made off with, laptop stolen",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber attack, cyber terrorism, digital extortion, keylogger, cyberstalking, online threats",Medium
Assault,Commissioner of Law Enforcement,"picked a fight, jumped me, threatened to hurt, threw punches",Low
Assault,Commissioner of Law Enforcement,"getting physical, punch, roughed up, violence, workplace violence",Medium
